material_id,name,Rn_id,Rn_mean,Rn_std,Rn_max,Rn_min,Rt_id,Rt_mean,Rt_std,Rt_max,Rt_min,phi_id,phi_mean,phi_std,phi_max,phi_min
0,Weathered Sandstone,2,0.7,0.2,0.95,0.6,2,0.35,0.15,0.5,0.2,2,20,5,30,10
1,Weathered Mudstone,2,0.47,0.3,1,0.1,2,0.55,0.23,1,0.1,2,15,5,30,10
2,Sandstone,2,1,0.2,1,0.82,2,0.4,0.15,0.55,0.25,2,25,5,30,10
3,Mudstone,2,0.6,0.15,0.8,0.4,2,0.65,0.1,0.85,0.45,2,20,5,30,10
4,Coal,2,0.41,0.15,0.61,0.21,2,0.64,0.15,0.84,0.44,2,10,5,30,5
5,Coarse Sandstone,2,1,0.2,1,0.82,2,0.4,0.15,0.55,0.25,2,25,5,30,10
6,Talus\Debris,2,0.3,0.2,1,0.1,2,0.82,0.2,1,0.1,2,35,5,50,15
7,Interbedded Sandstone & Mudstone,2,0.71,0.33,1,0.1,2,0.83,0.11,1,0.1,2,25,5,30,10
8,Interbedded Mudstone & Sandstone,2,0.93,0.42,1,0.1,2,0.63,0.1,1,0.1,2,20,5,30,10
9,Interbedded Coal & Sandstone,2,0.705,0.175,1,0.1,2,0.52,0.15,1,0.1,2,15,5,30,10
10,Interbedded Coal & Mudstone,2,0.505,0.15,1,0.1,2,0.645,0.125,1,0.1,2,15,5,30,10
11,Extremely Weathered Rock,2,0.35,0.2,0.55,0.15,2,0.47,0.2,0.67,0.27,2,20,5,35,10
12,Floor,2,0.5,0.2,0.8,0.3,2,0.8,0.2,1.0,0.5,2,30,2,36,24
